Designator,Mid X,Mid Y,Rotation,Layer
C1,76.06,-51.545,270.0,top
C2,183.279491,-26.81,0.0,top
C3,148.83,-75.82,180.0,top
C4,185.894888,-69.73,90.0,top
D1,176.67,-48.88,90.0,top
J1,60.1075,-49.03,270.0,top
J2,140.26,-75.4825,0.0,top
Q1,99.59,-57.05,90.0,top
Q10,123.62,-67.97,90.0,top
Q11,155.5,-65.3,180.0,top
Q2,105.11,-57.01,90.0,top
Q3,110.48,-57.05,90.0,top
Q4,115.79,-57.04,90.0,top
Q5,121.02,-57.05,90.0,top
Q6,99.58,-67.93,90.0,top
Q7,105.77,-67.97,90.0,top
Q8,111.72,-67.97,90.0,top
Q9,117.67,-67.97,90.0,top
R1,91.24,-53.05,90.0,bottom
R2,75.78,-43.6025,90.0,top
R3,71.3625,-36.93,0.0,top
R4,73.32,-56.9875,90.0,top
R5,127.83,-57.25,90.0,top
R6,78.4525,-61.07,0.0,top
R7,102.86,-49.14,0.0,top
R8,175.51,-64.31,270.0,top
T1,113.76,-33.42,90.0,top
T2,152.0,-40.93,90.0,top
U1,84.04,-49.04,0.0,top
U2,185.95,-52.77,90.0,top
